time_s,rmse_gps_m,rmse_kalman_m,rmse_adaptive_m,r_fixed,q_fixed,r_adaptive_init,q_adaptive_init,std,n
309,9.225765915280334,1.949209655102231,1.8431744236682315,100,0.01,10,0.01,10,5
310,9.225765915280334,2.8376262241433428,2.844128579973765,100,0.01,10,0.01,10,5
311,9.225765915280334,3.6775724706031974,3.7104352233797147,100,0.01,10,0.01,10,5
312,9.225765915280334,2.454473440529435,2.494422445716063,100,0.01,10,0.01,10,5
313,9.225765915280334,1.6139320763307208,1.7102342384201212,100,0.01,10,0.01,10,5
314,9.225765915280334,2.3097504133117788,2.55291372532237,100,0.01,10,0.01,10,5
315,9.225765915280334,3.645276472681403,3.996771948446419,100,0.01,10,0.01,10,5
316,9.225765915280334,5.263192576321442,5.65483570627527,100,0.01,10,0.01,10,5
317,9.225765915280334,6.766978810026089,7.244608702864139,100,0.01,10,0.01,10,5
318,9.225765915280334,3.69487779687913,3.9306610044168573,100,0.01,10,0.01,10,5
319,9.225765915280334,3.5737458900811814,3.6980540181028325,100,0.01,10,0.01,10,5
