scenario,time_s,node_count,tx_per_node_per_min,rmse_m
few_moving,48,10,0,29.36315840294177
few_moving,49,10,0,29.363306468723053
few_moving,50,10,30,29.363428443921357
few_moving,51,10,54,29.363528279413593
few_moving,52,10,36,29.36212535504804
few_moving,53,10,0,29.361261183161083
few_moving,54,10,0,29.360938834617897
few_moving,55,10,0,29.360914607639437
few_moving,56,10,30,29.36104341265446
few_moving,57,10,0,29.36124057651898
few_moving,58,10,24,29.361963140723645
few_moving,59,10,30,29.361393468597075
few_moving,60,10,24,29.361070634949325
few_moving,61,10,66,29.36091311063716
few_moving,62,10,30,29.360909347201385
few_moving,63,10,30,29.360886647110586
few_moving,64,10,30,29.360928336387964
few_moving,65,10,36,29.360928832650988
few_moving,66,10,54,29.360944955872633
few_moving,67,10,24,29.360782108217364
few_moving,68,10,0,29.360715179039108
few_moving,69,10,0,29.360703127032068
few_moving,70,10,0,29.360720484046347
few_moving,71,10,30,29.36075186060458
few_moving,72,10,0,29.360788258535603
few_moving,73,10,0,29.360824656905002
few_moving,74,10,0,29.3608584595798
few_moving,75,10,0,29.360888511784577
few_moving,76,10,36,29.360914486153142
few_moving,77,10,0,29.360936505612987
few_moving,78,10,0,29.36095491632145
few_moving,79,10,12,29.36095932802807
few_moving,80,10,30,29.36096680195206
few_moving,81,10,54,29.360992286573143
few_moving,82,10,24,29.36093453507548
few_moving,83,10,0,29.360925171700863
few_moving,84,10,0,29.3609410974286
few_moving,85,10,0,29.360968735918153
few_moving,86,10,30,29.3610003329127
few_moving,87,10,0,29.361031655489025
few_moving,88,10,0,29.361060568323687
few_moving,89,10,0,29.36108615820916
few_moving,90,10,0,29.361108200352625
few_moving,91,10,36,29.361126836962935
few_moving,92,10,0,29.361142387032082
few_moving,93,10,0,29.361155236629735
few_moving,94,10,12,29.36108564141897
few_moving,95,10,30,29.360978018808417
few_moving,96,10,54,29.36091334853323
few_moving,97,10,24,29.360813186094482
few_moving,98,10,0,29.360776955761594
few_moving,99,10,0,29.360776142181933
few_moving,100,10,0,29.36079355537902
few_moving,101,10,30,29.36081906346452
few_moving,102,10,0,29.360846887525213
few_moving,103,10,0,29.36087389792888
few_moving,104,10,0,29.360898548913287
few_moving,105,10,0,29.36092021795983
few_moving,106,10,36,29.360938800560856
few_moving,107,10,0,29.360954465194745
few_moving,108,10,0,29.36096750809702
few_moving,109,10,12,29.360978269645074
few_moving,110,10,30,29.360939656685705
few_moving,111,10,54,29.36091924248924
few_moving,112,10,24,29.3609029329126
few_moving,113,10,0,29.36089808431842
few_moving,114,10,0,29.360899432564995
few_moving,115,10,12,29.36090391879651
few_moving,116,10,54,29.360836737420424
few_moving,117,10,24,29.36092806122533
few_moving,118,10,42,29.360956204647785
few_moving,119,10,42,29.360835248930364
few_moving,120,10,48,29.360805705390916
few_moving,121,10,102,29.36140897798008
few_moving,122,10,60,29.36142605938405
few_moving,123,10,54,29.3615513902752
few_moving,124,10,54,29.361836691248552
few_moving,125,10,84,29.361699420751375
few_moving,126,10,90,29.361726182914285
few_moving,127,10,60,29.362010434262732
few_moving,128,10,42,29.362571986902772
few_moving,129,10,66,21.508645514072327
few_moving,130,10,72,21.45387724686472
few_moving,131,10,84,21.404895648135373
few_moving,132,10,90,17.69196267364183
few_moving,133,10,102,17.598232255041978
